K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
8.33667 0.998972 0.991141 0.974058 0.945687 0.903844 0.846379 0.77143 0.677817 0.565538 0.436338 0.294138 0.112712 0.0231999 0.0391817 0.159087 0.337844 0.476697 0.601135 0.707908 0.795865 
8.41683 0.999333 0.992273 0.975998 0.948434 0.907348 0.850518 0.775998 0.68252 0.570006 0.440156 0.296916 0.11383 0.0234354 0.0395778 0.160646 0.340971 0.480753 0.605715 0.712606 0.800331 
8.49699 0.999616 0.993328 0.977865 0.951118 0.910801 0.854622 0.78055 0.687226 0.57449 0.444 0.299717 0.11496 0.0236733 0.039978 0.162221 0.344123 0.484834 0.610309 0.717302 0.804775 
8.57715 0.999822 0.994307 0.97966 0.953738 0.914202 0.858691 0.785086 0.691934 0.578992 0.447869 0.302542 0.1161 0.0239139 0.0403825 0.16381 0.3473 0.488937 0.614916 0.721994 0.809197 
8.65731 0.99995 0.995209 0.981382 0.956293 0.917551 0.862724 0.789605 0.696644 0.58351 0.451762 0.305392 0.117252 0.024157 0.0407912 0.165415 0.350503 0.493064 0.619535 0.726682 0.813596 
8.73747 1 0.996033 0.98303 0.958782 0.920846 0.866719 0.794104 0.701353 0.588044 0.455681 0.308266 0.118416 0.0244026 0.0412043 0.167036 0.353731 0.497215 0.624166 0.731365 0.81797 
8.81764 0.999973 0.99678 0.984605 0.961205 0.924087 0.870676 0.798584 0.706062 0.592593 0.459624 0.311164 0.119591 0.0246509 0.0416217 0.168672 0.356985 0.501387 0.628808 0.736042 0.822319 
8.8978 0.999869 0.997449 0.986104 0.96356 0.927272 0.874592 0.803043 0.710769 0.597157 0.463591 0.314087 0.120778 0.0249018 0.0420434 0.170323 0.360264 0.505583 0.633461 0.740711 0.82664 
8.97796 0.999688 0.998041 0.987529 0.965847 0.930399 0.878468 0.80748 0.715474 0.601736 0.467583 0.317034 0.121977 0.0251554 0.0424696 0.171991 0.363568 0.5098 0.638124 0.745373 0.830934 
9.05812 0.99943 0.998554 0.988878 0.968064 0.933469 0.882301 0.811893 0.720176 0.606329 0.471599 0.320006 0.123187 0.0254117 0.0429003 0.173674 0.366899 0.51404 0.642796 0.750025 0.835199 
