T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
2.35147 0.00522636 0.00792381 0.0125588 0.019792 0.0270509 0.0215409 0.0161787 0.0125486 0.0102677 0.00747946 0.0112924 0.0178352 0.0280383 0.0382949 0.0305509 0.0230158 0.0179212 0.0147278 
2.37649 0.00521782 0.00791599 0.0125597 0.0198234 0.0271129 0.0215568 0.0161697 0.0125314 0.0102485 0.00749395 0.0113212 0.0178992 0.028181 0.0385165 0.0306806 0.0230842 0.0179603 0.0147531 
2.4015 0.00520928 0.00790814 0.0125605 0.0198548 0.027175 0.0215727 0.0161607 0.0125141 0.0102293 0.00750867 0.0113504 0.0179638 0.028325 0.0387405 0.0308116 0.0231534 0.018 0.0147788 
2.42652 0.00520073 0.00790025 0.0125613 0.0198862 0.0272372 0.0215884 0.0161515 0.0124968 0.0102101 0.00752362 0.0113799 0.018029 0.0284706 0.038967 0.030944 0.0232234 0.0180402 0.014805 
2.45153 0.00519218 0.00789234 0.0125619 0.0199175 0.0272995 0.021604 0.0161423 0.0124795 0.0101909 0.00753881 0.0114099 0.018095 0.0286177 0.0391959 0.0310776 0.0232941 0.018081 0.0148317 
2.47655 0.00518363 0.0078844 0.0125625 0.0199489 0.027362 0.0216196 0.016133 0.0124622 0.0101717 0.00755423 0.0114401 0.0181616 0.0287663 0.0394273 0.0312126 0.0233656 0.0181224 0.0148589 
2.50156 0.00517508 0.00787643 0.0125631 0.0199802 0.0274246 0.021635 0.0161236 0.0124448 0.0101526 0.0075699 0.0114708 0.0182289 0.0289165 0.0396613 0.031349 0.0234379 0.0181643 0.0148865 
2.52658 0.00516652 0.00786843 0.0125635 0.0200115 0.0274874 0.0216503 0.0161142 0.0124274 0.0101334 0.00758581 0.0115018 0.0182969 0.0290682 0.0398978 0.0314868 0.0235111 0.0182069 0.0149146 
2.55159 0.00515797 0.0078604 0.0125639 0.0200428 0.0275503 0.0216655 0.0161046 0.01241 0.0101143 0.00760196 0.0115332 0.0183656 0.0292215 0.0401369 0.0316259 0.023585 0.01825 0.0149432 
2.57661 0.00514941 0.00785233 0.0125642 0.0200741 0.0276133 0.0216806 0.016095 0.0123926 0.0100952 0.00761836 0.011565 0.018435 0.0293764 0.0403787 0.0317665 0.0236598 0.0182937 0.0149723 
2.60163 0.00514085 0.00784424 0.0125644 0.0201054 0.0276764 0.0216956 0.0160852 0.0123751 0.0100761 0.00763502 0.0115972 0.0185052 0.0295329 0.0406232 0.0319085 0.0237354 0.018338 0.0150019 
2.62664 0.00513229 0.00783612 0.0125646 0.0201366 0.0277397 0.0217105 0.0160754 0.0123577 0.010057 0.00765192 0.0116298 0.0185761 0.0296911 0.0408703 0.032052 0.0238119 0.0183829 0.015032 
2.65166 0.00512372 0.00782797 0.0125646 0.0201678 0.027803 0.0217253 0.0160656 0.0123402 0.010038 0.00766909 0.0116628 0.0186477 0.029851 0.0411203 0.0321969 0.0238892 0.0184285 0.0150626 
2.67667 0.00511516 0.00781979 0.0125646 0.020199 0.0278666 0.02174 0.0160556 0.0123226 0.0100189 0.00768651 0.0116962 0.01872 0.0300125 0.0413729 0.0323433 0.0239674 0.0184747 0.0150937 
2.70169 0.00510659 0.00781158 0.0125646 0.0202302 0.0279302 0.0217546 0.0160455 0.0123051 0.00999986 0.00770419 0.01173 0.0187932 0.0301757 0.0416285 0.0324912 0.0240465 0.0185215 0.0151253 
2.7267 0.00509802 0.00780334 0.0125644 0.0202614 0.027994 0.021769 0.0160354 0.0122875 0.00998084 0.00772214 0.0117642 0.018867 0.0303407 0.0418868 0.0326406 0.0241265 0.0185689 0.0151574 
2.75172 0.00508946 0.00779507 0.0125642 0.0202925 0.0280579 0.0217834 0.0160252 0.0122699 0.00996183 0.00774035 0.0117988 0.0189417 0.0305074 0.0421481 0.0327916 0.0242073 0.018617 0.0151901 
2.77674 0.00508089 0.00778677 0.0125639 0.0203236 0.0281219 0.0217976 0.0160149 0.0122523 0.00994283 0.00775883 0.0118339 0.0190171 0.0306759 0.0424123 0.0329441 0.0242891 0.0186657 0.0152233 
2.80175 0.00507232 0.00777844 0.0125635 0.0203547 0.028186 0.0218117 0.0160045 0.0122347 0.00992385 0.00777759 0.0118694 0.0190934 0.0308462 0.0426794 0.0330982 0.0243718 0.0187151 0.015257 
2.82677 0.00506374 0.00777009 0.012563 0.0203857 0.0282503 0.0218258 0.015994 0.012217 0.00990488 0.00779662 0.0119053 0.0191704 0.0310182 0.0429496 0.0332538 0.0244554 0.0187652 0.0152912 
2.85178 0.00505517 0.0077617 0.0125625 0.0204167 0.0283147 0.0218396 0.0159835 0.0121993 0.00988593 0.00781592 0.0119416 0.0192483 0.0311922 0.0432228 0.0334111 0.0245399 0.0188159 0.0153261 
2.8768 0.0050466 0.00775329 0.0125619 0.0204477 0.0283792 0.0218534 0.0159728 0.0121816 0.00986699 0.00783551 0.0119784 0.0193269 0.031368 0.0434991 0.03357 0.0246254 0.0188673 0.0153614 
2.90181 0.00503803 0.00774485 0.0125612 0.0204786 0.0284438 0.0218671 0.0159621 0.0121639 0.00984807 0.00785538 0.0120157 0.0194064 0.0315456 0.0437786 0.0337306 0.0247119 0.0189194 0.0153973 
2.92683 0.00502945 0.00773638 0.0125605 0.0205096 0.0285086 0.0218806 0.0159513 0.0121461 0.00982916 0.00787554 0.0120533 0.0194868 0.0317252 0.0440612 0.0338928 0.0247993 0.0189722 0.0154338 
2.95184 0.00502088 0.00772788 0.0125596 0.0205404 0.0285734 0.0218941 0.0159404 0.0121284 0.00981027 0.00789599 0.0120915 0.019568 0.0319067 0.044347 0.0340568 0.0248877 0.0190257 0.0154709 
2.97686 0.0050123 0.00771935 0.0125587 0.0205713 0.0286384 0.0219074 0.0159294 0.0121106 0.00979139 0.00791673 0.0121301 0.01965 0.0320902 0.0446361 0.0342224 0.0249772 0.0190799 0.0155085 
