T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
2.10131 0.0199036 0.0237468 0.0267145 0.0274317 0.0275359 0.0276668 0.0278164 0.02788 0.0270092 0.00776684 0.00925121 0.0103988 0.0106769 0.0107175 0.0107685 0.0108271 0.0108527 0.010523 
2.12633 0.0195657 0.0233607 0.026292 0.0269993 0.0271019 0.0272306 0.0273771 0.0274386 0.0265691 0.00791968 0.00944023 0.010616 0.0109006 0.010942 0.010994 0.0110536 0.0110793 0.0107375 
2.15134 0.0200722 0.023982 0.0270027 0.0277305 0.027836 0.027968 0.0281179 0.0281799 0.0272746 0.00777108 0.00926914 0.0104279 0.0107079 0.0107486 0.0107997 0.010858 0.0108827 0.0105426 
2.17636 0.0194714 0.0232817 0.0262262 0.0269346 0.0270371 0.0271652 0.0273102 0.0273691 0.0264771 0.00800017 0.00955046 0.0107498 0.0110391 0.0110811 0.0111337 0.0111935 0.0112185 0.0108621 
2.20138 0.0203567 0.0243565 0.0274486 0.0281914 0.0282987 0.0284327 0.0285838 0.0286443 0.0276985 0.00777837 0.00929138 0.0104622 0.0107444 0.0107852 0.0108364 0.0108944 0.0109183 0.010567 
2.22639 0.0198662 0.0237878 0.0268201 0.0275475 0.0276523 0.0277832 0.0279301 0.027988 0.0270507 0.00785645 0.00939204 0.0105806 0.0108666 0.0109079 0.0109596 0.011018 0.0110417 0.0106811 
2.25141 0.0195483 0.0234251 0.0264235 0.0271416 0.027245 0.0273738 0.0275179 0.0275737 0.0266371 0.00771632 0.00923199 0.0104054 0.0106873 0.0107279 0.0107787 0.0108359 0.0108586 0.0104986 
2.27642 0.0198567 0.0238117 0.0268714 0.0276033 0.0277084 0.0278393 0.0279852 0.0280407 0.0270756 0.00765769 0.00916796 0.0103376 0.0106181 0.0106586 0.010709 0.0107655 0.0107877 0.0104254 
2.30144 0.0200787 0.0240948 0.0272029 0.0279452 0.0280517 0.0281841 0.0283311 0.0283862 0.0273965 0.00788312 0.00944458 0.0106542 0.010944 0.0109856 0.0110375 0.0110956 0.0111179 0.0107396 
2.32645 0.0200205 0.0240425 0.0271561 0.0278987 0.028005 0.028137 0.0282832 0.0283369 0.027336 0.00812634 0.00974355 0.0109967 0.0112964 0.0113394 0.011393 0.0114526 0.0114752 0.0110791 
2.35147 0.0198679 0.0238781 0.0269834 0.027723 0.0278286 0.0279597 0.0281042 0.0281563 0.0271479 0.00760024 0.00912004 0.010298 0.0105793 0.0106196 0.0106697 0.0107253 0.0107459 0.0103697 
2.37649 0.0201027 0.0241779 0.0273347 0.0280854 0.0281925 0.0283252 0.0284709 0.0285224 0.0274877 0.00755094 0.00906704 0.0102426 0.0105229 0.010563 0.0106128 0.0106678 0.0106879 0.010309 
2.4015 0.0199272 0.0239853 0.0271297 0.0278764 0.0279827 0.0281142 0.0282582 0.028308 0.0272676 0.00752293 0.00904 0.0102167 0.0104969 0.0105369 0.0105865 0.0106411 0.0106607 0.0102779 
2.42652 0.0201205 0.0242352 0.0274246 0.0281809 0.0282885 0.0284213 0.0285662 0.0286153 0.0275506 0.00789804 0.00949741 0.0107384 0.0110335 0.0110755 0.0111276 0.0111848 0.0112049 0.0107975 
2.45153 0.0195961 0.023622 0.0267438 0.027483 0.0275878 0.0277173 0.0278578 0.0279044 0.0268525 0.00800307 0.0096327 0.0108974 0.0111977 0.0112404 0.0112932 0.0113509 0.0113706 0.0109508 
2.47655 0.0204955 0.0247235 0.0280031 0.0287787 0.0288885 0.029024 0.0291705 0.029218 0.0281034 0.00793177 0.00955248 0.0108108 0.0111092 0.0111516 0.011204 0.011261 0.0112801 0.0108592 
2.50156 0.0200128 0.0241605 0.0273789 0.0281388 0.0282463 0.0283785 0.0285211 0.0285662 0.0274623 0.00796121 0.00959655 0.0108666 0.0111673 0.0112099 0.0112625 0.0113194 0.0113381 0.0109088 
2.52658 0.0199644 0.0241206 0.0273468 0.0281075 0.0282149 0.0283469 0.0284885 0.0285323 0.0274158 0.0079068 0.00953751 0.0108045 0.011104 0.0111464 0.0111987 0.011255 0.0112731 0.0108413 
2.55159 0.0203275 0.0245771 0.0278771 0.0286542 0.0287637 0.0288981 0.0290418 0.0290851 0.0279336 0.00818158 0.00987639 0.0111937 0.0115047 0.0115486 0.0116027 0.0116608 0.011679 0.011226 
